n_components,accuracy,time_seconds
2,0.6871508379888268,266.50756669044495
12,0.6871508379888268,1569.7165927886963
22,0.6424581005586593,1796.1841840744019
32,0.6145251396648045,2926.4059851169586
42,0.5977653631284916,3385.3443109989166
52,0.6312849162011173,2973.178460121155
62,0.6480446927374302,735.1677289009094
72,0.6033519553072626,76.23964428901672
82,0.5754189944134078,0.345991849899292
92,0.6089385474860335,0.14918804168701172
102,0.6089385474860335,0.1107168197631836
112,0.6312849162011173,0.1041877269744873
122,0.6424581005586593,0.09453797340393066
132,0.6480446927374302,0.09149503707885742
142,0.6201117318435754,0.07584214210510254
152,0.6033519553072626,0.1192619800567627
162,0.6033519553072626,0.11242914199829102
172,0.5977653631284916,0.08583974838256836
182,0.6033519553072626,0.0883328914642334
192,0.6033519553072626,0.06930708885192871
