n_components,accuracy,time_seconds
2,0.6871508379888268,345.28753685951233
12,0.6871508379888268,2107.54932308197
22,0.5977653631284916,2383.44788813591
32,0.5754189944134078,3510.1502301692963
42,0.6201117318435754,1776.375468969345
52,0.6145251396648045,1018.271733045578
62,0.6033519553072626,366.58114981651306
72,0.6089385474860335,0.3823049068450928
82,0.5754189944134078,0.162614107131958
92,0.5810055865921788,0.08261585235595703
102,0.6033519553072626,0.09328603744506836
112,0.5921787709497207,0.07932305335998535
122,0.5865921787709497,0.08989977836608887
132,0.553072625698324,0.06451201438903809
142,0.547486033519553,0.09261322021484375
152,0.5921787709497207,0.08077287673950195
162,0.5977653631284916,0.07852292060852051
172,0.5865921787709497,0.08603382110595703
182,0.5810055865921788,0.057118892669677734
192,0.5754189944134078,0.08033204078674316
